Grupo,Pose #,POSE_robot_rpy, q_robot [deg],Config,POSE_robot_4x4,POSE_calc (tb_FKine),q_calc [deg],q_recalc [deg]
Caso 20,1,[ -72.80 -267.90  184.90  -89.88   -3.25  108.96],[-71.45 -38.93 -52.29 -73.12  -0.43 161.10],"[1, -1, -1]","[  -0.32   -0.02   -0.95  -72.80    0.94    0.05   -0.33 -267.90    0.06
   -1.00    0.00  184.90    0.00    0.00    0.00    1.00]","[  -0.32   -0.02   -0.95  -72.76    0.94    0.05   -0.32 -267.95    0.06
   -1.00    0.00  184.97    0.00    0.00    0.00    1.00]",[-71.45 -38.93 -52.29 -73.12  -0.43 161.10],[-71.46 -38.79 -52.59 -72.82  -0.44 160.96]
Caso 20,2,[  16.50 -252.40  180.30  -95.11   13.11  104.16],[ -50.36  -43.15  -43.68  -81.21   24.78 -177.71],"[1, -1, 1]","[  -0.24    0.14   -0.96   16.50    0.94   -0.20   -0.26 -252.40   -0.23
   -0.97   -0.09  180.30    0.00    0.00    0.00    1.00]","[  -0.24    0.14   -0.96   16.63    0.94   -0.20   -0.26 -252.36   -0.23
   -0.97   -0.09  180.35    0.00    0.00    0.00    1.00]",[ -50.36  -43.15  -43.68  -81.21   24.78 -177.71],[ -50.39  -43.16  -43.69  -81.20   24.76 -177.72]
Caso 20,3,[ 165.70 -340.30  180.60 -112.24  -23.67  153.84],[-40.69 -77.51 -23.20  24.52  20.91  49.92],"[1, -1, 1]","[  -0.82   -0.17   -0.54  165.70    0.40    0.50   -0.76 -340.30    0.40
   -0.85   -0.35  180.60    0.00    0.00    0.00    1.00]","[  -0.82   -0.17   -0.54  165.75    0.40    0.50   -0.76 -340.22    0.40
   -0.85   -0.35  180.74    0.00    0.00    0.00    1.00]",[-40.69 -77.51 -23.20  24.52  20.91  49.92],[-40.71 -77.61 -23.08  24.53  20.92  49.89]
Caso 20,4,[-126.50 -295.10  194.20  -94.83   -0.65   94.56],[-84.55 -39.46 -80.68  19.16   4.92 100.37],"[1, -1, 1]","[  -0.08    0.08   -0.99 -126.50    1.00    0.02   -0.08 -295.10    0.01
   -1.00   -0.08  194.20    0.00    0.00    0.00    1.00]","[  -0.08    0.08   -0.99 -126.53    1.00    0.02   -0.08 -295.07    0.01
   -1.00   -0.08  194.21    0.00    0.00    0.00    1.00]",[-84.55 -39.46 -80.68  19.16   4.92 100.37],[-84.55 -39.45 -80.61  18.96   4.92 100.48]
Caso 20,5,[-178.80 -335.40  193.90 -113.03   16.39   86.11],[-95.00 -78.39 -17.92  25.22  23.37  87.27],"[1, -1, 1]","[   0.07    0.37   -0.93 -178.80    0.96   -0.29   -0.05 -335.40   -0.28
   -0.88   -0.38  193.90    0.00    0.00    0.00    1.00]","[   0.06    0.37   -0.93 -178.76    0.96   -0.29   -0.05 -335.44   -0.28
   -0.88   -0.38  194.06    0.00    0.00    0.00    1.00]",[-95.00 -78.39 -17.92  25.22  23.37  87.27],[-95.01 -78.37 -18.00  25.25  23.37  87.30]
Caso 20,6,[-146.60 -352.30  177.50  -94.99   42.34   88.02],[-88.76 -84.63  -9.66   6.85   3.69 129.90],"[1, -1, 1]","[   0.03    0.06   -1.00 -146.60    0.74   -0.67   -0.02 -352.30   -0.67
   -0.74   -0.06  177.50    0.00    0.00    0.00    1.00]","[   0.03    0.06   -1.00 -146.49    0.74   -0.67   -0.02 -352.36   -0.67
   -0.74   -0.06  177.56    0.00    0.00    0.00    1.00]",[-88.76 -84.63  -9.66   6.85   3.69 129.90],[-88.78 -84.60  -9.73   6.85   3.69 129.92]
Caso 21,1,[ -76.90 -255.00  212.60  -94.18    9.37  107.70],[ -71.45  -15.46 -118.38   41.74    4.13  101.51],"[1, -1, 1]","[  -0.30    0.12   -0.95  -76.90    0.94   -0.13   -0.31 -255.00   -0.16
   -0.98   -0.07  212.60    0.00    0.00    0.00    1.00]","[  -0.30    0.12   -0.95  -76.92    0.94   -0.13   -0.31 -255.00   -0.16
   -0.98   -0.07  212.64    0.00    0.00    0.00    1.00]",[ -71.45  -15.46 -118.38   41.74    4.13  101.51],[ -71.44  -15.32 -118.27   41.18    4.13  101.81]
Caso 21,2,[  12.00 -255.20  207.40  -88.88   11.92  132.92],[-50.18 -20.30 -72.33 -66.53  -3.07 171.12],"[1, -1, -1]","[  -0.67    0.13   -0.73   12.00    0.72   -0.16   -0.68 -255.20   -0.21
   -0.98    0.02  207.40    0.00    0.00    0.00    1.00]","[  -0.67    0.13   -0.73   12.10    0.72   -0.16   -0.68 -255.20   -0.21
   -0.98    0.02  207.41    0.00    0.00    0.00    1.00]",[-50.18 -20.30 -72.33 -66.53  -3.07 171.12],[-50.20 -20.34 -72.26 -66.64  -3.09 171.19]
Caso 21,3,[ 183.50 -221.50  175.80  -73.36  -36.51 -163.58],[-23.55 -29.61 -79.71 -53.52 -51.32 131.39],"[1, -1, -1]","[  -0.77   -0.47    0.43  183.50   -0.23   -0.44   -0.87 -221.50    0.59
   -0.77    0.23  175.80    0.00    0.00    0.00    1.00]","[  -0.77   -0.47    0.43  183.59   -0.23   -0.44   -0.87 -221.46    0.59
   -0.77    0.23  175.83    0.00    0.00    0.00    1.00]",[-23.55 -29.61 -79.71 -53.52 -51.32 131.39],[-23.57 -29.61 -79.72 -53.53 -51.35 131.41]
Caso 21,4,[-130.40 -288.40  216.70  -90.79   10.11   95.64],[-85.16 -68.20 -63.45  92.19   1.23  49.57],"[1, -1, 1]","[  -0.10    0.03   -0.99 -130.40    0.98   -0.17   -0.10 -288.40   -0.18
   -0.98   -0.01  216.70    0.00    0.00    0.00    1.00]","[  -0.10    0.03   -0.99 -130.33    0.98   -0.17   -0.10 -288.45   -0.18
   -0.98   -0.01  216.69    0.00    0.00    0.00    1.00]",[-85.16 -68.20 -63.45  92.19   1.23  49.57],[-85.17 -68.35 -63.22  92.32   1.23  49.36]
